TAMANHO,,,,,ordem,,
AMZN,"41,54",amarelo,,,AMZN,"41,54",amarelo
TSLA,44,amarelo,,,AZO,"42,64",amarelo
COST,"58,4",amarelo,,,BKNG,"51,85",amarelo
HD,"56,54",amarelo,,,CCL,"44,2",amarelo
MCD,64,verde,,,CMG,"61,38",verde
DIS,"55,93",amarelo,,,CMI,"38,61",vermelho
BKNG,"51,85",amarelo,,,COST,"58,4",amarelo
LOW,61,verde,,,CPNG,38,vermelho
TJX,"65,73",verde,,,CUK,"43,36",amarelo
SBUX,"51,71",amarelo,,,DECK,"57,66",amarelo
NKE,"50,98",amarelo,,,DHI,"37,89",vermelho
MAR,"55,98",amarelo,,,DIS,"55,93",amarelo
CMG,"61,38",verde,,,F,"43,51",amarelo
RACE,"70,87",verde,,,GM,"39,14",vermelho
ORLY,"63,65",verde,,,HD,"56,54",amarelo
RCL,"57,72",amarelo,,,HLT,"49,34",amarelo
TGT,"46,21",amarelo,,,JD,"34,92",vermelho
HLT,"49,34",amarelo,,,LEN,"36,78",vermelho
JD,"34,92",vermelho,,,LOW,61,verde
AZO,"42,64",amarelo,,,LULU,"40,56",amarelo
GM,"39,14",vermelho,,,LVS,"48,47",amarelo
LULU,"40,56",amarelo,,,LYV,"40,94",amarelo
ROST,"48,32",amarelo,,,MAR,"55,98",amarelo
CMI,"38,61",vermelho,,,MCD,64,verde
DHI,"37,89",vermelho,,,NKE,"50,98",amarelo
TCOM,"44,73",amarelo,,,NVR,"42,44",amarelo
CPNG,38,vermelho,,,ORLY,"63,65",verde
F,"43,51",amarelo,,,RACE,"70,87",verde
YUM,"67,83",verde,,,RCL,"57,72",amarelo
LEN,"36,78",vermelho,,,ROST,"48,32",amarelo
CUK,"43,36",amarelo,,,SBUX,"51,71",amarelo
CCL,"44,2",amarelo,,,TCOM,"44,73",amarelo
LYV,"40,94",amarelo,,,TGT,"46,21",amarelo
DECK,"57,66",amarelo,,,TJX,"65,73",verde
LVS,"48,47",amarelo,,,TSCO,"46,37",amarelo
TSCO,"46,37",amarelo,,,TSLA,44,amarelo
WSM,"42,95",amarelo,,,WBD,24,vermelho
WBD,24,vermelho,,,WSM,"42,95",amarelo
NVR,"42,44",amarelo,,,YUM,"67,83",verde