TAMANHO,SCORE,COR,,,ordem,,
AAPL,"55,79",amarelo,,,AAPL,"55,79",amarelo
MSFT,"46,57",amarelo,,,ABNB,"54,63",amarelo
NVDA,"55,13",amarelo,,,ACN,"43,19",amarelo
GOOG,"38,73",vermelho,,,ADBE,"54,16",amarelo
GOOGL,"38,68",vermelho,,,ADI,"62,53",verde
META,"45,71",amarelo,,,ADP,"51,43",amarelo
AVGO,"40,15",amarelo,,,AMAT,"49,33",amarelo
V,"65,73",verde,,,AMD,"38,5",vermelho
MA,"44,21",amarelo,,,ANET,"50,44",amarelo
ORCL,"39,75",vermelho,,,APH,"60,14",verde
NFLX,"59,64",amarelo,,,APP,"52,37",amarelo
CRM,"73,88",verde,,,AVGO,"40,15",amarelo
TMUS,"62,88",verde,,,CHT,"58,95",amarelo
NOW,"51,5",amarelo,,,CHTR,"38,89",vermelho
CSCO,"45,79",amarelo,,,CHTR,"38,89",vermelho
ACN,"43,19",amarelo,,,CMCSA,"44,37",amarelo
IBM,"60,89",verde,,,CMCSA,"44,37",amarelo
ADBE,"54,16",amarelo,,,CRM,"73,88",verde
QCOM,"53,74",amarelo,,,CRWD,38,vermelho
AMD,"38,5",vermelho,,,CSCO,"45,79",amarelo
PLTR,"33,5",vermelho,,,DELL,"39,98",vermelho
T,"51,76",amarelo,,,GOOG,"38,73",vermelho
VZ,"53,51",amarelo,,,GOOGL,"38,68",vermelho
INTU,"57,1",amarelo,,,IBM,"60,89",verde
TXN,"59,55",amarelo,,,INTC,"41,5",amarelo
CMCSA,"44,37",amarelo,,,INTU,"57,1",amarelo
UBER,"52,56",amarelo,,,KLAC,"52,7",amarelo
AMAT,"49,33",amarelo,,,LRCX,"52,14",amarelo
ANET,"50,44",amarelo,,,MA,"44,21",amarelo
PANW,"53,14",amarelo,,,META,"45,71",amarelo
ADP,"51,43",amarelo,,,MRVL,31,vermelho
APP,"52,37",amarelo,,,MSFT,"46,57",amarelo
SPOT,44,amarelo,,,MSI,"51,52",amarelo
ADI,"62,53",verde,,,MSTR,22,vermelho
CRWD,38,vermelho,,,MU,"51,57",amarelo
MU,"51,57",amarelo,,,NFLX,"59,64",amarelo
LRCX,"52,14",amarelo,,,NOW,"51,5",amarelo
KLAC,"52,7",amarelo,,,NVDA,"55,13",amarelo
MRVL,31,vermelho,,,ORCL,"39,75",vermelho
INTC,"41,5",amarelo,,,PANW,"53,14",amarelo
MSTR,22,vermelho,,,PLTR,"33,5",vermelho
APH,"60,14",verde,,,QCOM,"53,74",amarelo
ABNB,"54,63",amarelo,,,RCI,"39,78",vermelho
SNPS,"47,76",amarelo,,,SNPS,"47,76",amarelo
MSI,"51,52",amarelo,,,SPOT,44,amarelo
DELL,"39,98",vermelho,,,T,"51,76",amarelo
CHTR,"38,89",vermelho,,,T,"51,76",amarelo
T,"51,76",amarelo,,,TMUS,"62,88",verde
VZ,"53,51",amarelo,,,TXN,"59,55",amarelo
CMCSA,"44,37",amarelo,,,UBER,"52,56",amarelo
CHTR,"38,89",vermelho,,,V,"65,73",verde
CHT,"58,95",amarelo,,,VZ,"53,51",amarelo
RCI,"39,78",vermelho,,,VZ,"53,51",amarelo